Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,1.41E+11,1.25E+06,100313.9
1991,1.90E+11,1.32E+06,105906.6
1992,2.29E+11,1.39E+06,107921.1
1993,2.37E+11,1.47E+06,110256.5
1994,2.57E+11,1.56E+06,111909.9
1995,2.58E+11,1.60E+06,112886.7
1996,2.72E+11,1.70E+06,122545.9
1997,2.93E+11,1.77E+06,126118.7
1998,2.99E+11,1.84E+06,132669.9
1999,2.84E+11,1.78E+06,134502
2000,2.84E+11,1782846,132265.5
2001,2.69E+11,1.71E+06,125255.2
2002,97724004252,1.64E+06,117462.1
2003,1.28E+11,1.78E+06,127653.5
2004,1.65E+11,1.91E+06,141376.4
2005,1.99E+11,1.96E+06,145995.4
2006,2.33E+11,2.05E+06,154917.5
2007,2.88E+11,2.17E+06,162820.2
2008,3.62E+11,2.22E+06,167231.8
2009,3.33E+11,2.07E+06,156567.5
2010,4.24E+11,2.24E+06,1.67E+05
2011,5.30E+11,2.31E+06,1.77E+05
2012,5.46E+11,2.30E+06,177955.3
2013,5.52E+11,2.41E+06,1.83E+05
2014,5.26E+11,2.39E+06,1.80E+05
2015,5.95E+11,2.43E+06,1.86E+05
2016,5.58E+11,2.40E+06,183158.7
2017,6.44E+11,2.39E+06,1.79E+05
2018,5.25E+11,2.39E+06,1.77E+05
2019,4.48E+11,2.37E+06,1.68E+05
2020,3.86E+11,2.15E+06,1.55E+05
2021,4.88E+11,2356697,
