Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,4.62E+11,4668292,197897.4
1991,4.07E+11,4731251,205475.4
1992,3.91E+11,4805007,207865.4
1993,4.38E+11,4938360,215259.5
1994,5.46E+11,5195288,222497.5
1995,7.69E+11,5414874,241283.8
1996,8.50E+11,5688489,262414.1
1997,8.83E+11,6015336,281335
1998,8.64E+11,6217375,290587.2
1999,6.00E+11,6367541,300958.7
2000,6.55E+11,6442030,313670.8
2001,5.60E+11,6415490,319375.7
2002,5.10E+11,6632677,317756.5
2003,5.58E+11,6726214,310808.1
2004,6.69E+11,7100812,328517.3
2005,8.92E+11,7231714,331689.1
2006,1.11E+12,7467223,335624.6
2007,1.40E+12,7899390,352555.8
2008,1.70E+12,8191546,373633.1
2009,1.67E+12,8019394,350000.9
2010,2.21E+12,8860079,397931.1
2011,2.62E+12,9144944,418295.4
2012,2.47E+12,9423804,454232.9
2013,2.47E+12,9595420,486844.7
2014,2.46E+12,9750198,511618
2015,1.80E+12,9553018,485344.1
2016,1.80E+12,9413568,447077.3
2017,2.06E+12,9582287,455684.8
2018,1.92E+12,9433580,4.34E+05
2019,1.87E+12,9514365,4.34E+05
2020,1.48E+12,9348377,4.14E+05
2021,1.65E+12,9729630,
2022,1.92E+12,10203253,
