Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,5.96E+11,6634084,419492.2
1991,6.13E+11,6585413,413298.6
1992,5.94E+11,6706512,426367.3
1993,5.79E+11,6874381,422047.8
1994,5.80E+11,7128160,436764.6
1995,6.06E+11,7280641,448046
1996,6.31E+11,7523956,461700.7
1997,6.55E+11,7612388,476815.9
1998,6.34E+11,7431266,484791.8
1999,6.78E+11,7697047,494278.5
2000,7.45E+11,7599715,514215.1
2001,7.39E+11,7351551,506615.9
2002,7.61E+11,7748074,524353.4
2003,8.96E+11,8038594,544541.8
2004,1.03E+12,8126357,536417.3
2005,1.17E+12,7963543,549032.7
2006,1.32E+12,7815681,540525.6
2007,1.47E+12,8052368,571632
2008,1.55E+12,7890918,550553.2
2009,1.37E+12,7560662,521399.4
2010,1.62E+12,7705933,537091.5
2011,1.79E+12,7990704,549369.9
2012,1.83E+12,7958558,546291.6
2013,1.85E+12,8059442,555742.4
2014,1.81E+12,8114949,561760.5
2015,1.56E+12,8072753,558747.2
2016,1.53E+12,8110159,556874.1
2017,1.65E+12,8259368,568175.9
2018,1.73E+12,8472878,579573.9
2019,1.74E+12,8489463,566001.8
2020,1.66E+12,7756824,516873.7
2021,2.01E+12,8002216,
