Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,3.95E+11,2.77E+07,2173364.2
1991,4.13E+11,2.87E+07,2302185.2
1992,4.93E+11,2.93E+07,2418175.3
1993,6.19E+11,3.05E+07,2645411.7
1994,5.64E+11,3.14E+07,2767666.4
1995,7.34E+11,3.31E+07,3088620.2
1996,8.64E+11,3.22E+07,3070505.1
1997,9.62E+11,3.31E+07,3134112.6
1998,1.03E+12,3.34E+07,3236278.6
1999,1.09E+12,3.25E+07,3153661.1
2000,1.21E+12,3.31E+07,3346525.8
2001,1.34E+12,3.39E+07,3529081.3
2002,1.47E+12,3.55E+07,3.80E+06
2003,1.66E+12,3.91E+07,4.42E+06
2004,1.96E+12,4.53E+07,5.11E+06
2005,2.29E+12,5.17E+07,5.82E+06
2006,2.75E+12,5.55E+07,6.44E+06
2007,3.55E+12,5.90E+07,6.99E+06
2008,4.59E+12,6.11E+07,7.20E+06
2009,5.10E+12,6.40E+07,7.72E+06
2010,6.09E+12,6.92E+07,8.47E+06
2011,7.55E+12,7.33E+07,9.28E+06
2012,8.53E+12,7.62E+07,9.54E+06
2013,9.57E+12,7.92E+07,9.98E+06
2014,1.05E+13,8.18E+07,1.00E+07
2015,1.11E+13,8.29E+07,9.86E+06
2016,1.12E+13,8.31E+07,9.86E+06
2017,1.23E+13,8.41E+07,1.01E+07
2018,1.39E+13,8.76E+07,1.06E+07
2019,1.43E+13,8.91E+07,1.08E+07
2020,1.47E+13,9.16E+07,1.09E+07
2021,1.78E+13,9.73E+07,
