Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,1.27E+12,5927799,3.56E+05
1991,1.27E+12,6363702,3.81E+05
1992,1.40E+12,6405039,3.69E+05
1993,1.32E+12,6261924,3.50E+05
1994,1.39E+12,6199846,3.44E+05
1995,1.60E+12,6329984,3.52E+05
1996,1.61E+12,6580983,3.68E+05
1997,1.45E+12,6531365,3.59E+05
1998,1.50E+12,6638966,3.81E+05
1999,1.49E+12,6656600,3.75E+05
2000,1.37E+12,6761150,3.73E+05
2001,1.38E+12,6973666,3.77E+05
2002,1.50E+12,6859401,3.71E+05
2003,1.84E+12,6999655,3.77E+05
2004,2.12E+12,7064123,3.78E+05
2005,2.20E+12,7014953,3.81E+05
2006,2.32E+12,6924690,3.72E+05
2007,2.66E+12,6792946,3.63E+05
2008,2.93E+12,6818931,3.58E+05
2009,2.70E+12,6538058,3.74E+05
2010,2.65E+12,6689172,3.75E+05
2011,2.87E+12,6491412,3.76E+05
2012,2.68E+12,6668832,3.76E+05
2013,2.81E+12,6770973,3.77E+05
2014,2.86E+12,6338983,3.78E+05
2015,2.44E+12,6431530,3.79E+05
2016,2.47E+12,6515494,3.79E+05
2017,2.60E+12,6474573,3.80E+05
2018,2.79E+12,6325742,3.81E+05
2019,2.73E+12,6268240,3.81E+05
2020,2.65E+12,5765594,3.82E+05
2021,2.96E+12,6319479,
2022,2.78E+12,,
