Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,1.77E+12,1.01E+07,955307.7
1991,1.87E+12,9.96E+06,932548.1
1992,2.13E+12,9.71E+06,892817.4
1993,2.07E+12,9.73E+06,887057
1994,2.21E+12,9.61E+06,875897.1
1995,2.59E+12,9.77E+06,874659.4
1996,2.50E+12,1.01E+07,904337.4
1997,2.21E+12,1.00E+07,872646.5
1998,2.24E+12,9.98E+06,865253.7
1999,2.19E+12,9.79E+06,833594.9
2000,1.95E+12,9.69E+06,8.30E+05
2001,1.95E+12,9.86E+06,8.48E+05
2002,2.08E+12,9.71E+06,8.33E+05
2003,2.50E+12,9.84E+06,8.37E+05
2004,2.81E+12,9.81E+06,8.21E+05
2005,2.85E+12,9.70E+06,8.02E+05
2006,2.99E+12,9.90E+06,8.14E+05
2007,3.43E+12,9.32E+06,7.84E+05
2008,3.75E+12,9.65E+06,7.90E+05
2009,3.41E+12,9.10E+06,7.35E+05
2010,3.40E+12,9.71E+06,7.73E+05
2011,3.75E+12,9.25E+06,7.46E+05
2012,3.53E+12,9.37E+06,7.60E+05
2013,3.73E+12,9.58E+06,7.76E+05
2014,3.89E+12,9.12E+06,7.36E+05
2015,3.36E+12,9.25E+06,7.42E+05
2016,3.47E+12,9.39E+06,7.47E+05
2017,3.69E+12,9.50E+06,7.32E+05
2018,3.97E+12,9.33E+06,7.08E+05
2019,3.89E+12,9.29E+06,6.59E+05
2020,3.89E+12,9.00E+06,6.03E+05
2021,4.28E+12,9.40E+06,
