Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,3.21E+11,9003323,563575.4
1991,2.70E+11,9325728,607224
1992,2.88E+11,9533030,626293.3
1993,2.79E+11,9672870,651351.1
1994,3.27E+11,10166634,685903
1995,3.60E+11,10499376,737856.4
1996,3.93E+11,10808192,774070.2
1997,4.16E+11,11323274,819268.8
1998,4.21E+11,11440928,836269.9
1999,4.59E+11,11788337,901325.2
2000,4.68E+11,12143103,937858.4
2001,4.85E+11,12150492,953537.3
2002,5.15E+11,12570587,985453.3
2003,6.08E+11,12822389,1011770.9
2004,7.09E+11,13334015,1085666.9
2005,8.20E+11,13916649,1136466.4
2006,9.40E+11,14714393,1215205.2
2007,1.22E+12,15640543,1336737.1
2008,1.20E+12,16536245,1424383
2009,1.34E+12,17456829,1564881.1
2010,1.68E+12,18561843,1659983
2011,1.82E+12,19564812,1756744
2012,1.83E+12,20155453,1909442
2013,1.86E+12,20824047,1972429.4
2014,2.04E+12,21847135,2147107
2015,2.10E+12,22851357,2158023.2
2016,2.29E+12,23635045,2195248.5
2017,2.65E+12,24793756,2308804.4
2018,2.70E+12,25911740,2458175.9
2019,2.84E+12,26047455,2423951.4
2020,2.67E+12,24964632,2200836.3
2021,3.15E+12,26480877,
2022,3.42E+12,,
