Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,1.06E+11,3315014,1.48E+05
1991,1.17E+11,3435616,1.62E+05
1992,1.28E+11,3562008,1.71E+05
1993,1.58E+11,3723042,1.85E+05
1994,1.77E+11,3913608,1.99E+05
1995,2.02E+11,4123174,2.24E+05
1996,2.27E+11,4378749,2.37E+05
1997,2.16E+11,4545542,2.61E+05
1998,9.54E+10,4447017,2.63E+05
1999,2.00E+11,4816985,2.79E+05
2000,2.08E+11,5029762,2.81E+05
2001,2.16E+11,5155254,3.02E+05
2002,2.25E+11,5137454,3.06E+05
2003,2.33E+11,5311415,3.34E+05
2004,2.41E+11,5518232,3.41E+05
2005,2.50E+11,5540022,3.42E+05
2006,2.58E+11,5752303,3.64E+05
2007,2.66E+11,5804936,3.80E+05
2008,2.74E+11,5662729,3.76E+05
2009,2.83E+11,5836492,3.91E+05
2010,2.91E+11,6211506,4.16E+05
2011,2.99E+11,6566810,4.76E+05
2012,3.08E+11,6774908,4.49E+05
2013,3.16E+11,6321951,4.63E+05
2014,3.24E+11,6405034,4.77E+05
2015,3.32E+11,6226813,4.90E+05
2016,3.41E+11,5960002,5.04E+05
2017,3.49E+11,6059376,5.18E+05
2018,3.57E+11,6529161,5.31E+05
2019,3.65E+11,6808061,5.45E+05
2020,3.74E+11,6344317,5.59E+05
2021,3.82E+11,6381170,
2022,3.90E+11,,
