Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,1.18E+12,4812574,405262
1991,1.25E+12,4916460,404074.1
1992,1.32E+12,4915058,402274.3
1993,1.06E+12,4901718,396927.9
1994,1.10E+12,4840811,392285.5
1995,1.17E+12,5045791,416415
1996,1.31E+12,5097545,412153.5
1997,1.24E+12,5151356,415517.3
1998,1.27E+12,5279790,426372.2
1999,1.25E+12,5408996,433010.6
2000,1.15E+12,5394248,436296.6
2001,1.17E+12,5514270,436571.4
2002,1.28E+12,5527648,443473.1
2003,1.58E+12,5780262,462197.8
2004,1.81E+12,5775560,472404.8
2005,1.86E+12,5915405,473831.8
2006,1.95E+12,5855275,466654.5
2007,2.21E+12,5806181,459371.1
2008,2.41E+12,5799427,444984.5
2009,2.20E+12,5476406,397057.1
2010,2.14E+12,5599644,405272.3
2011,2.29E+12,5351964,396687.4
2012,2.09E+12,5250813,376747.2
2013,2.14E+12,5066640,346458.3
2014,2.16E+12,4869454,327498
2015,1.84E+12,4975791,337862.1
2016,1.88E+12,4933025,333344.8
2017,1.96E+12,4976960,329193.3
2018,2.09E+12,4977694,324884.2
2019,2.01E+12,4928598,317223
2020,1.90E+12,4498106,281286.8
2021,2.16E+12,4931469,
2022,2.05E+12,,
