Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,3.19E+12,12157088,1090508.1
1991,3.65E+12,12390799,1103961.3
1992,3.98E+12,12520988,1115035.1
1993,4.54E+12,12650231,1107586.8
1994,5.00E+12,13061661,1160755.1
1995,5.55E+12,13544214,1170985.4
1996,4.92E+12,13732878,1184646.6
1997,4.49E+12,13766529,1172604.1
1998,4.10E+12,13526764,1130280.5
1999,4.64E+12,13894292,1168954.7
2000,4.97E+12,14058095,1184424.9
2001,4.37E+12,13868805,1172339.5
2002,4.18E+12,14097169,1206760.2
2003,4.52E+12,13989029,1213929.5
2004,4.89E+12,14186320,1207285.7
2005,4.83E+12,14232377,1215474.4
2006,4.60E+12,14126480,1193043.3
2007,4.58E+12,14032612,1227990.8
2008,5.11E+12,13108181,1158836.1
2009,5.29E+12,12841303,1102386.2
2010,5.76E+12,13130743,1157241.8
2011,6.23E+12,12872811,1213775.6
2012,6.27E+12,12720654,1254319.4
2013,5.21E+12,12778322,1267376.2
2014,4.90E+12,12397900,1217306.6
2015,4.44E+12,12261117,1178349.1
2016,5.00E+12,12087577,1164869.4
2017,4.93E+12,12240844,1150835
2018,5.04E+12,11947538,1111115.3
2019,5.12E+12,11703253,1073645.3
2020,5.06E+12,11038937,1014064.7
2021,5.03E+12,11188699,
2022,4.26E+12,,
