Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,2.61E+11,3488598,269575.4
1991,3.13E+11,3605878,287995.8
1992,3.63E+11,3612963,291682.5
1993,5.30E+11,3616051,300667.5
1994,5.54E+11,3782431,326504.8
1995,3.80E+11,3643443,306842.1
1996,4.32E+11,3711292,322699.1
1997,5.23E+11,3740160,342478.4
1998,5.57E+11,3846828,365142.4
1999,6.31E+11,3849227,355178.3
2000,7.42E+11,3988936,379176
2001,7.96E+11,3894368,378830.6
2002,8.11E+11,3917674,386004.6
2003,7.66E+11,4076046,404692.2
2004,8.19E+11,4277178,414102
2005,9.18E+11,4437469,432187.4
2006,1.02E+12,4655316,448302.8
2007,1.10E+12,4752467,457121
2008,1.16E+12,4895009,459548.1
2009,9.43E+11,4644479,448372.5
2010,1.11E+12,4908902,462869.5
2011,1.23E+12,5037608,478403.5
2012,1.26E+12,4992567,486454.2
2013,1.33E+12,5006278,475737.5
2014,1.36E+12,4970635,462240.1
2015,1.21E+12,5016247,471632.6
2016,1.11E+12,5098042,476394.6
2017,1.19E+12,5146954,474498.5
2018,1.26E+12,4904188,444898.4
2019,1.31E+12,4883187,451828.8
2020,1.12E+12,4271832,383131.4
2021,1.31E+12,4127400,
2022,1.47E+12,,
