Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,5.17E+11,26169659,2163533.1
1991,5.18E+11,25933457,2136444.3
1992,4.60E+11,24012092,2030810.7
1993,4.35E+11,23334717,1880244.5
1994,3.95E+11,20098985,1685046.3
1995,3.96E+11,19191091,1635484.8
1996,3.92E+11,17279930,1601176.5
1997,4.05E+11,16594667,1489506.5
1998,2.71E+11,16250850,1487965
1999,1.96E+11,16981339,1523721.3
2000,2.60E+11,17496107,1563845.6
2001,3.07E+11,17646861,1567172
2002,3.45E+11,17094850,1565334.4
2003,4.30E+11,17527012,1609996.7
2004,5.91E+11,17582555,1600978.5
2005,7.64E+11,17248368,1611982.1
2006,9.90E+11,17742418,1654851
2007,1.30E+12,17881085,1658148.6
2008,1.66E+12,18175913,1655191.1
2009,1.22E+12,17332222,1546666.4
2010,1.52E+12,18700155,1617827.5
2011,2.05E+12,18667622,1699083.2
2012,2.21E+12,18751757,1675755.9
2013,2.29E+12,18275337,1632679.7
2014,2.06E+12,18986258,1611960.7
2015,1.36E+12,18947006,1592559.4
2016,1.28E+12,19458296,1571517.3
2017,1.57E+12,20429299,1594550.3
2018,1.66E+12,21538844,1661000
2019,1.69E+12,21831573,1703588.7
2020,1.49E+12,21329198,1618271
2021,1.84E+12,22800066,
2022,2.24E+12,,
