Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,1.18E+11,1653167,171403.3
1991,1.32E+11,1719257,187924.9
1992,1.37E+11,1946312,202031.7
1993,1.33E+11,2032550,203252.6
1994,1.35E+11,2169900,206359.4
1995,1.43E+11,2138059,204830.5
1996,1.59E+11,2341827,217652.4
1997,1.66E+11,2328083,220072.7
1998,1.47E+11,2489472,233898.8
1999,1.62E+11,2554314,239520.5
2000,1.90E+11,3028726,249654.8
2001,1.84E+11,3132036,254084.2
2002,1.90E+11,3438000,272251.2
2003,2.16E+11,3531307,284828.3
2004,2.59E+11,3649155,299889.4
2005,3.28E+11,3786664,315293.2
2006,3.77E+11,4080770,335434.3
2007,4.16E+11,4381437,354617.4
2008,5.20E+11,4804631,389713.4
2009,4.29E+11,5213855,406526.7
2010,5.28E+11,5878437,446131.5
2011,6.77E+11,6058285,463763.7
2012,7.42E+11,6440419,492467.1
2013,7.54E+11,6383969,503213.7
2014,7.67E+11,7021278,540520.2
2015,6.69E+11,7192387,565190.1
2016,6.66E+11,6982062,561229.7
2017,7.15E+11,6827496,549749.9
2018,8.47E+11,6646844,527565.7
2019,8.39E+11,6718997,526770.3
2020,7.34E+11,6420554,513555.8
2021,8.74E+11,6478914,
2022,1.11E+12,,
