Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,1.26E+11,2137277,247614.7
1991,1.35E+11,2105646,242286
1992,1.47E+11,2003989,238780.6
1993,1.47E+11,1997196,246445.9
1994,1.54E+11,2053968,252088.5
1995,1.72E+11,2189078,264251.5
1996,1.63E+11,2318151,274043.7
1997,1.69E+11,2399777,288584.8
1998,1.53E+11,2395447,296196.9
1999,1.52E+11,2311277,278270.9
2000,1.52E+11,2289579,284463.3
2001,1.35E+11,2211786,320393.3
2002,1.29E+11,2306448,331272
2003,1.97E+11,2400409,353033.5
2004,2.56E+11,2497732,379939.8
2005,2.89E+11,2502035,377642.7
2006,3.04E+11,2520702,379736
2007,3.33E+11,2694527,397161.9
2008,3.16E+11,2732749,427111.7
2009,3.30E+11,2827905,404354
2010,4.17E+11,2556970,425548.4
2011,4.58E+11,2597355,409480.3
2012,4.34E+11,2660843,427001.7
2013,4.01E+11,2784670,437261.7
2014,3.81E+11,2764774,448298.1
2015,3.47E+11,2683968,425063.1
2016,3.24E+11,2670845,425682.9
2017,3.81E+11,2889492,435214.5
2018,4.05E+11,2826711,439644.6
2019,3.89E+11,2655668,446626
2020,3.38E+11,2482810,393241.6
2021,4.20E+11,2579272,
2022,4.05E+11,,
