Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,2.83E+11,2717462,247675.8
1991,3.31E+11,3014394,274792.7
1992,3.56E+11,3405602,297049.9
1993,3.93E+11,3738115,327604.4
1994,4.64E+11,4038565,354277.1
1995,5.67E+11,4382832,385406
1996,6.10E+11,4676986,409990.3
1997,5.70E+11,4965235,431637.6
1998,3.83E+11,4461538,366567.2
1999,4.98E+11,4940061,401878.5
2000,5.76E+11,5321701,447237.3
2001,5.48E+11,5444678,456674
2002,6.27E+11,5668493,461000.1
2003,7.03E+11,5768339,463913.9
2004,7.93E+11,5796900,485909.6
2005,9.35E+11,5880474,481002.1
2006,1.05E+12,5949770,487852.1
2007,1.17E+12,6158678,503693.8
2008,1.05E+12,6150454,514924.5
2009,9.44E+11,6189836,526639.5
2010,1.14E+12,6602174,575215.7
2011,1.25E+12,6762791,598480.8
2012,1.28E+12,6938263,600316.3
2013,1.37E+12,7046711,599601.4
2014,1.48E+12,7076828,588088.6
2015,1.47E+12,7252303,607827.1
2016,1.50E+12,7482199,615443.6
2017,1.62E+12,7670723,626178.4
2018,1.73E+12,7630291,630186.6
2019,1.65E+12,7607329,612133.7
2020,1.64E+12,7312580,569681.8
2021,1.82E+12,7607467,
2022,1.67E+12,,
