Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,1.51E+11,1691080,139197.9
1991,1.51E+11,1722066,143796.1
1992,1.59E+11,1775760,149797.2
1993,1.80E+11,1914136,155579.5
1994,1.31E+11,1817194,153823.1
1995,1.69E+11,2013925,168150.5
1996,1.81E+11,2179374,185337.7
1997,1.90E+11,2248938,193428.4
1998,2.76E+11,2248074,193687.6
1999,2.56E+11,2173364,192651.4
2000,2.74E+11,2421656,216396.5
2001,2.02E+11,2181723,197771.1
2002,2.40E+11,2395725,208107.6
2003,3.15E+11,2541010,219158.6
2004,4.09E+11,2647760,224601.2
2005,5.06E+11,2737244,235003
2006,5.57E+11,3042939,261083.6
2007,6.81E+11,3208855,288967.8
2008,7.70E+11,3093685,287205
2009,6.49E+11,3117908,288307.2
2010,7.77E+11,3284896,297814
2011,8.39E+11,3447737,318641.2
2012,8.81E+11,3607505,329797.8
2013,9.58E+11,3582579,319088.6
2014,9.39E+11,3600890,341671.5
2015,8.64E+11,3918878,353413.8
2016,8.70E+11,4097330,376399
2017,8.59E+11,4397619,418098.2
2018,7.79E+11,4314186,414111.9
2019,7.61E+11,4370764,398772.9
2020,7.20E+11,4503812,407406.2
2021,8.20E+11,4819972,
2022,9.07E+11,,
