Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,1.09E+12,5.78E+06,561774.5
1991,1.14E+12,6026550,570681.6
1992,1.18E+12,5941956,557885.6
1993,1.06E+12,6031638,541376.4
1994,1.14E+12,6043846,535183.2
1995,1.34E+12,6024631,526808.2
1996,1.42E+12,6341463,545478.1
1997,1.56E+12,6183655,524191.2
1998,1.65E+12,6199604,526000.6
1999,1.69E+12,6311388,522752.6
2000,1.67E+12,6311126,530888.2
2001,1.78E+12,6315138,545262.2
2002,1.85E+12,6194378,530785.9
2003,1.92E+12,6270844,543037.1
2004,2.00E+12,6293563,543075.9
2005,2.07E+12,6226761,540917
2006,2.14E+12,6112930,542060.8
2007,2.21E+12,5954679,530502.5
2008,2.28E+12,5916728,515335.6
2009,2.35E+12,5517927,466492.5
2010,2.42E+12,5746284,482646.2
2011,2.49E+12,5263593,445648.4
2012,2.56E+12,5367494,467831
2013,2.63E+12,5387735,453778.1
2014,2.70E+12,5099708,415609
2015,2.77E+12,5230182,401075.3
2016,2.85E+12,5327446,382154.9
2017,2.92E+12,5302808,366844.1
2018,2.99E+12,5320115,360555.9
2019,3.06E+12,5221748,345934.3
2020,3.13E+12,4776935,308650.3
2021,3.20E+12,4998219,
2022,3.27E+12,,
