Year,GDP(US $),Energy Consumption(TJ),CO2 Emission(kt)
1990,5.96E+12,54157768,4844517.4
1991,6.16E+12,54223381,4807496.5
1992,6.52E+12,54545802,4879626.1
1993,6.86E+12,55496181,4995209.5
1994,7.29E+12,56820590,5066803
1995,7.64E+12,57682944,5117036.9
1996,8.07E+12,59513900,5273486.3
1997,8.58E+12,60262156,5543349.4
1998,9.06E+12,60199627,5590536.3
1999,9.63E+12,62402876,5609017.3
2000,1.03E+13,64739491,5775807.2
2001,1.06E+13,63635033,5748261.8
2002,1.09E+13,63785447,5593024.4
2003,1.15E+13,64449080,5658992
2004,1.22E+13,65636700,5738286
2005,1.30E+13,65442289,5753493.2
2006,1.38E+13,65259205,5653081
2007,1.45E+13,65986966,5736319.3
2008,1.48E+13,64142945,5558378.9
2009,1.45E+13,60790338,5156424.9
2010,1.50E+13,63345040,5392109.4
2011,1.56E+13,61716076,5173591.2
2012,1.63E+13,60429988,4956053
2013,1.68E+13,62483715,5092097.2
2014,1.76E+13,63308598,5107208.6
2015,1.82E+13,63155589,4990703.7
2016,1.87E+13,63415314,4894499.2
2017,1.95E+13,63587333,4819365.1
2018,2.05E+13,66543535,4975300.4
2019,2.14E+13,66367720,4817710.4
2020,2.11E+13,61042604,4320532.5
2021,2.33E+13,64465316,
2022,2.54E+13,,
